job_id,job_url,job_title,organisation_name,emp_type,location_city,location_state,location_country,closing_date,salary_desc,min_salary,max_salary,essential_criteria,desirable_criteria,org_contact_name,org_contact_role,org_contact_phone,org_contact_email,job_attachments,description_long,sports,is_cool_flag,date_created
79781,https://www.sportspeople.com.au//jobs/79781-referee-wellbeing-support-officer-northern-nsw-football,Referee Wellbeing & Support Officer,Northern NSW Football,"Part Time, Contract/Temp",Speers Point,New South Wales,Australia,7 Feb 2024,,,,,,Brad Carlin,,(02) 4941 7200,,,"What You Will Do as Referee Wellbeing and Support Officer:Provide a central point of contact for referees for wellbeing and welfare issues.Provide pro-active and reactive support to referees who have experienced a challenging match day or abuse.Ensure the General Manager - Referees and the Northern NSW Football Competitions staff are kept fully informed of all incidents and reports relating to inappropriate behaviour towards referees.Regularly contact all first year and identified referees to ensure that their officiating is a positive and rewarding experience.Identify and utilise systems to access accurate reporting to identify key trends of referee experiences.Adjust any referee appointments based on notification by referees who are unable to attend their fixtures as appointed by the NNSWF Referees Department.Advise all referees in a timely manner whose matches have been postponed or altered due to extreme weather, forfeits or other reasons.Distribute Coaching and Assessment Reports to referees and other relevant persons.Inform referees of the outcomes of the Send-Off and Incident Reports submitted by them to Northern NSW Football.Support the NNSWF Referee team to plan, implement and evaluate various events throughout the year.Carry out other referee related tasks as required by the GM - Referees.Key Performance Indicators:Improve the retention rate of referees throughout NNSW.Improve the percentage of matches that have a match official appointed by NNSWF.Improve and increase reporting of referee welfare and wellbeing matters to appropriate channels.Improved outcomes of referee incident reporting.About You:You will have an extensive knowledge of football within Northern NSW.The ability to deal with difficult situations including match official abuse.Excellent conflict resolution skills.A good understanding of the match day challenges faced by Referees within Norther NSW.An good understanding of the issues relating to recruitment, development, and retention of referees.Flexibility in adapting to new digital systems.Excellent attention to details and strong oral and written communication skills.Ability to build trust and partnerships effectively and quickly.A valid and current Working with Children Check clearance for paid work.The Fine Print:Due to the nature of this role, it will be a requirement of the Referee Wellbeing and Support Officer to:Work full days on Saturdays and Sundays throughout the football season as part of his or her normal hours.Work on Friday evenings and Monday mornings throughout the football season.Attend matches on behalf of Northern NSW Football.Engage in state-wide travel from time to time.Benefits of Working at Northern NSW Football:Northern NSW Football values our awesome employees and has their wellbeing and a healthy work life balance front of mind.We are proud to provide employees with:Access to a comprehensive Employee Assistance Program;Flexible working environments.Regular staff professional development and training.Regular staff social activities to help connect with your teammates.Access to company vehicles for work-related travel.Regular performance reviews to help you achieve success.Opportunities to watch and be involved in some of our region’s biggest football events.Our Commitment to Diversity:At Northern NSW Football, we respect and celebrate the power of diversity. We strive to ensure our workforce reflects the diversity of our football family and harness the unique talents, perspectives and experiences of our staff and our communities that we work and play in.","Football,Soccer",False,2024-01-25
79759,https://www.sportspeople.com.au//jobs/79759-club-doctor-williamstown-football-club,Club Doctor,Williamstown Football Club,"Part Time, Contract/Temp",Melbourne,Victoria,Australia,23 Feb 2024,,,,"Relevant Tertiary Qualification,First Aid Certificate,Current Provide/Perform CPR,Advanced Resuscitation,Sports Medicine / Physio / Allied Health Degree,Bachelor of Medicine/Surgery/ Medical Science or equivalent",,,,,molds@williamstownfc.com.au,https://www.sportspeople.com.au/resources/files/73d742972846.pdf,"This role will consist of providing Williamstown VFL & VFLW teams with medical support and assisting in the coordination of the medical departmentKey Responsibilitiesliaise with Physio’s and High Performance Manager regarding the injury status of players throughout the weekProvide players treatment as requiredAssist with Players booking or requiring referrals to specialists, imaging or collecting scripts and advise High Performance Manager of these requirementsMaintain database as prescribed by the Club of ALL player treatmentsWork with other Medical Staff and Coaching StaffLiaise with General Manager with any other player issuesAssist GM-Football for any medical claims under Medicare and / or Marsh InsuranceUnderstand, and abide by Sport Integrity Australia’s Code of Conduct and Rules in relation to prohibited substances",AFL,False,2024-01-25
79768,https://www.sportspeople.com.au//jobs/79768-swim-school-manager-carlile-swimming-cromer-carlile-swimming,Swim School Manager - Carlile Swimming Cromer,Carlile Swimming,Full Time,Northern Beaches,New South Wales,Australia,22 Feb 2024,,,,"First Aid Certificate,Current Provide/Perform CPR,National Police / Criminal History Check,Working with Children / Working with Vulnerable People Check",Qualified Swim Teacher,,,,jobs@carlile.com.au,,"Carlile SwimmingCarlile is not your average swim school, it is Australia’s oldest and we aim to be the best. Forbes Carlile was Australia’s first Olympic swimming coach, started Australia’s first commercial swim school, built Sydney’s first indoor teaching pool and pioneered teaching babies to swim. For more than 75 years, Carlile Swimming has been a leader in aquatic education.Our people set us apart. Carlile Swimming operates ten facilities, providing more than 26,000 lessons every week, and we are getting bigger. Hiring the right people and supporting them with the right tools and training, is crucial to our continued growth and success.Working at Carlile is a rewarding experience. Our teams have a positive impact on their local community; swimming lessons help keep children safer around water, as well as influencing their physical, cognitive and social development. This is a role with opportunities to grow and make a life in swimming. If you’re interested in being part of a fun, friendly, fast paced and supportive team, then we want to hear from you.The OpportunityWith our help, you will be responsible for building and leading a team to provide outstanding lessons and exceptional customer service within an established world class program.You will have the chance to build a caring, supportive and inclusive culture. A culture where team-members love coming to work creating an atmosphere where success is an inevitable outcome.The Role and YouOur Operations Managers (OMs) are the leaders of their swim school. Ultimately responsible for customer and staff satisfaction, growth in bookings and the efficient delivery of an outstanding learn to swim program.You will be an established leader or someone ready to take the next step in their leadership journey. Capable of inclusive leadership of a team of full time, permanent part time and casual staff. Your role will ensure we provide the best possible quality lessons for the families who trust us to help their children learn to swim well. You will also mentor our next leaders.In addition to class scheduling, swim teacher rostering and management, you will help oversee the quality of lesson delivery, ensuring staff are engaged and providing great customer service. You will help build a team and help us retain high calibre staff.Accountabilities:This is a role for someone capable of fostering a positive and fun environment for children, teachers and carers.We want someone who can:Teach and supervise lessonsWork with their team to recruit new swimming teachers, and provide ongoing coaching development and trainingManage staff and provide leadership through regular training and meetingsHelp build the program by promoting Carlile Swimming and develop partnerships with local community groupsOversee and lead a fast growing swim school through effective communicationSpecifically, you have:Demonstrated understanding of swim schools and their role in helping children be Safer around water and develop a love of swimming.The ability to lead, coach and motivate a teamStrong managerial skills and attention to detailAbility to quickly understand the Carlile ProgramSound knowledge of swimming industry practices, teaching and coaching principlesProven interpersonal and negotiation skills including ability to liaise with students and parentsSound verbal and written communication skillsIn return you will work with an organisation that is a “family” business which puts its core values at the heart of everything we do.We take a stance on purpose - our purpose embodies everything we stand for, why we exist and guides our decision makingOur employees know what they do really matters and helps drive value for the families who learn to swim with usOur culture is our secret sauce, being caring, supportive and inclusive is deeply embedded in our processes and leadership structureTeamwork is vital and you will work with a great group of team leaders and operational staff at our poolsRespect is deeply embedded in our culture, our reason for being is keeping children safeTaking a stand with integrity is a legacy handed down by our founders and still guides our decision makingWe innovate, constantly looking for ways to be better","Sportsleaders,Swimming",False,2024-01-25
79765,https://www.sportspeople.com.au//jobs/79765-medical-services-coordinator-sydney-swans,Medical Services Coordinator,Sydney Swans,Full Time,Moore Park,New South Wales,Australia,4 Feb 2024,,,,"Qualified Massage Therapist,Level 2/Senior/Apply/Provide First Aid,Current Provide/Perform CPR,Level 2 Sports Trainer,National Police / Criminal History Check,Working with Children / Working with Vulnerable People Check",,,,,hr@sydneyswans.com.au,,"WHY CHOOSE THE SWANS?Admired Australian sporting teamInclusive and flexible work environmentEmployee perks and benefitsWork in a newstate-of-the-art facilityOur club was born almost 150 years ago from hard work, grit and a relentless drive for success. We are rich in history and ambitious about the future. Together we share the journey and celebrate the wins. We are proud to be one of the leading football clubs, both on and off the field, in Australia.When choosing a career with the Sydney Swans, you will join a team that stands up in the big moments. A team that is respectful, disciplined, and courageous. And one that has conviction. You will be part of something bigger.Flexibility in hours, leave, location and dress translate to an environment where you can be at your best.We are committed to creating a supportive environment in which people feel connected to our football club and to each other. Therefore, we encourage applications from candidates of all backgrounds.THE PERKSWellbeing programs to support healthy mind and body including access to gym facilitiesSpecial offers and discounts through our Corporate PartnersProfessional development support tailored to your goalsClub memberships to enjoy games with your friends and familyTHE OPPORTUNITYThe Sydney Swans are accepting applications from suitably experienced individuals for the Medical Services Coordinator role in our AFL Football Department.This role will be responsible for:Provision of training week and match day massage services to the Sydney Swans AFL Men’s team.Scheduling of weekly player massage sessions.Delivery of pre-training and pre-match strapping services for Sydney Swans AFL Men’s squad.Management of contracted soft tissue therapists and match day sports trainers, including scheduling, payment of invoices and regular communication (phone / email).“Head Trainer” role for Sydney Swans AFL match days, including fortnightly travel.Attendance at all AFL training sessions to provide sideline First Aid treatment.Operational role for the Physiotherapy and Medical Services department, including imaging appointments, external consultations and managing department consumables.AFL Department scheduling, both of AFL team training schedule and individual staff schedules.WHAT WE’RE LOOKING FORRelevant diploma / certificates in sports massage therapySMA Sports Trainer Level 2 qualificationCurrent senior first aid & CPR certificateExperience treating elite athletes and working in a High-Performance DepartmentExperience working with Athlete Management System (AMS) software.Proficient IT skills (Microsoft Excel, Word, Powerpoint).Excellent communication and strong stakeholder relationships.“Team-first” attitudeDue to the nature of the industry, the ideal candidate must be flexible in their availability as extended hours and weekend work will be required for this role.",AFL,True,2024-01-25
79782,https://www.sportspeople.com.au//jobs/79782-sporting-schools-administration-coordinator-australian-dragon-boat-federation,Sporting Schools Administration Coordinator,Australian Dragon Boat Federation,Part Time,,,,5 Feb 2024,,,,"National Police / Criminal History Check,Working with Children / Working with Vulnerable People Check",Relevant Tertiary Qualification,Melanie  Cantwell,,0418 480 731,,https://www.sportspeople.com.au/resources/files/73e2551e1741.pdf,"The position will focus on:Administration of the DRACADEMY Program -manage all administration tasks related to the DRACADEMY program; this includes but not limited to:Follow up every lead in Sporting school.Convert leads to bookings.Build relationships within the school network.Customer Service -respond to all requests in a timely and efficient manner by demonstrating a high standard of customer service cultureInvestigate other opportunitiesto increase Youth participation at - primary, secondary and University levelPolicy and Procedures- regularly review all policies and procedures relating to the DRACADEMY program and make any recommendations to change to the AusDBF Board to consider ensuring all legislative requirements are being met.Promotion and Marketing- Work with the Marketing, Communications and Digital Board Directors to create EDMs, messaging, content, and graphics to promote and market DRACADEMYReporting- Provide monthly reports on the status of the DRACADEMY programRepresentation and Relationships- actively representing DRACADEMY to all relevant parties, developing and enhancing relationships with the clubs’ members, coaches, sweeps, partners, and stakeholders across the country.Revenue- manage long term sustainability and viability for the DRACADEMY programProvide administration supportto Business services as required with work external to DRACADEMY - for example managing the accreditations database.",Dragonboat,False,2024-01-25
79780,https://www.sportspeople.com.au//jobs/79780-rugby-development-officer-rugby-victoria,Rugby Development Officer,Rugby Victoria,Casual,Richmond,Victoria,Australia,23 Feb 2024,,,,"First Aid Certificate,Current Provide/Perform CPR,Working with Children / Working with Vulnerable People Check,Drivers Licence",,,,,,,"Rugby Victoria - Who are we?Rugby Victoria is the governing body for Rugby Union within the state of Victoria and is a founding member union of Rugby Australia. Rugby in Victoria is in great shape; we are currently witnessing an exciting and unprecedented growth period. Since our establishment in 1888, we have firmly established Victoria as one of the most prominent rugby provinces in Australia.?Your roleA Rugby Victoria Casual Rugby Development Officer (RDO) is primarily responsible for conducting general rugby union game development programs within schools and community environments.This includes the following responsibilities;Supporting the delivery of school clinics (Get into Rugby, Touch 7s, Rugby 7s)Supporting the delivery of school Gala Days/tournaments (Touch 7s, Rugby 7s, 10s, XVs)Supporting the delivery of diversity and school holiday programsSupporting the delivery of club-based activationsSupporting the delivery of Melbourne Rebels/Rugby Australia activationsSupporting Rugby Victoria eventsOther duties as requiredExpectationsRugby Development Officers are the link between Rugby Victoria and the local community. Each time you visit a school, a community event, or a local club, you are doing so as a representative of Rugby Victoria and the Melbourne Rebels. Therefore, it is important that your interactions with the community accurately reflect our values and that you are able to build strong and trusting relationships with stakeholders.Desirable QualificationsCurrent Working with Children Check (or proof of application)Current First Aid & CPR CertificateCurrent Smart Rugby accreditation (or ability to complete prior to commencement)","Rugby,Rugby Union",False,2024-01-25
79742,https://www.sportspeople.com.au//jobs/79742-marketing-communications-events-coordinator-western-sydney-academy-of-sport,"Marketing, Communications & Events Coordinator",Western Sydney Academy of Sport,Full Time,Penrith,New South Wales,Australia,12 Feb 2024,,,,"Working with Children / Working with Vulnerable People Check,Drivers Licence","Relevant Tertiary Qualification, Sports Marketing / PR / Communications Degree",Martin Bullock,CEO,(02) 4732 4977,martin@wsas.com.au,https://www.sportspeople.com.au/resources/files/73cc4fefc2bb.pdf,"The Marketing, Communications and Events Coordinator’s role is to work collaboratively, and in an integrated manner, with both the Academy’s internal resources and its external stakeholders, to effectively coordinate and deliver operational outcomes.Three primary platforms include marketing, communications and events. This role will work in close collaboration with the Academy’s Athlete Program Manager and Chief Executive Officer.The Marketing, Communications and Events Coordinator is responsible for assisting in the planning of, and implementation of relevant strategies and operational initiatives that enhance awareness and engagement with key stakeholders, as well as the wider regional community.A full position description is attached for information.","Cycling,Golf,Kayaking,Netball,Para Sport,Rowing,Softball,Triathlon,Volleyball",False,2024-01-25
79779,https://www.sportspeople.com.au//jobs/79779-leisure-service-officer-city-of-greater-dandenong,Leisure Service Officer,City of Greater Dandenong,Full Time,Dandenong,Victoria,Australia,7 Feb 2024,"$94,804 to $103,338 pa + super",,110000.0,"National Police / Criminal History Check,Working with Children / Working with Vulnerable People Check,Drivers Licence",,Saskia  Smart,,(03) 8571 5188,,https://www.sportspeople.com.au/resources/files/73dfbbbd56e1.pdf,"About UsLocated 35km to the southeast of Melbourne, Greater Dandenong City Council covers 129 square kilometres and has a population of over 169,000 people. The central activities district is Melbourne's second largest retail and commercial centre and includes large shopping complexes at Dandenong and Keysborough as well as the highly popular Dandenong Market.Greater Dandenong City Council is the most culturally diverse locality in Australia, with residents from over 150 different birthplaces, nearly two-thirds of whom were born overseas. Key industries include manufacturing, health care and social assistance, retail trade, wholesale trade and transport.We are a progressive organisation of exceptional character that offers a dynamic and rewarding work environment to approximately 900 employees. We recognise that our staff are vital to the delivery of excellent service to our community and the achievement of our long-term vision. We invest in the development of our people, and we strive to be a workplace that is respectful, engaged, accountable, creative and honest.About the rolePositioned within Council’s Sport & Recreation department, the Leisure Services Officer will work in partnership with leisure centre management to ensure that the facilities, services and programs provided to the community align with Council’s strategic objectives. You will provide outstanding customer service and communication with leisure centre management and build strong working relationships with internal Council teams.About youTo be successful in this role, you will have demonstrated knowledge and understanding in aquatic and leisure facility management, performance monitoring of leisure contracts or service agreements, asset planning, management and maintenance, advocacy and promotion, and business planning and reporting.You may be required to undertake practical testing, work preference profiling / psychometric testing, functional capacity assessment (physical) or aptitude testing.The successful candidate will be asked to produce a clear Working with Children Check and will be asked toconsent to a national police check (and where relevant an ‘international criminal history check’), subject to the operation of spent conviction laws. Please note that people with criminal records are not automatically barred from applying for this position. Each application will be considered on its merits.Benefits of working with usCouncil believes in providing an environment where staff thrive, both in the work they do and in how they learn and develop as people and professionals. Our workplace has an inclusive and diverse culture which encourages innovation and supports your work and life balance. There are plenty of opportunities to learn, develop and grow your career within our expanding and diverse organisation.For more information about our benefits, please visit our careers page:Working with UsCouncil will consider flexible working arrangements for all positions. We embrace our diverse community and encourage applications from everyone including people of Aboriginal & Torres Strait Islander background, people of diverse sexual orientation and gender, people from culturally and linguistically diverse backgrounds, and people of varied age, ability, and faith. Council will give due consideration to any workplace adjustments to accommodate the needs of any prospective or existing staff member.Council is commitment to providing an inclusive and welcoming environment and promoting cultural safety and wellbeing for childrenwith zero tolerance for child abuse and harm.",,False,2024-01-25
79778,https://www.sportspeople.com.au//jobs/79778-learn-to-swim-instructors-jump-swim-school-pyrmont,Learn To Swim Instructors,Jump Swim School Pyrmont,Casual,Sydney,New South Wales,Australia,23 Feb 2024,,,,"Current Provide/Perform CPR,Teacher of Swimming and Water Safety / ASCTA Swim Australia Teacher,Teacher of Babies and Toddlers / Infant and Preschool Aquatics,Working with Children / Working with Vulnerable People Check,Strong communication skills and a possitive attitude,Your resume of past reliability and performance",Previous children's swim training is a distinct advantage,,,,pyrmont@jumpswimschools.com.au,,"We are seeking qualified, or about to be qualified, Learn To Swim instructors to assist infants and young children at our Jump Swim School at Pyrmont. Jump is considered a leader in providing a great atmosphere and attention for young aspirants and both the children and the parents are delighted with their advancement and the joy it gives them.Applicants will be required for Mon to Sat afternoons in particular and in addition may be required to manage our desk from time to time.Our standard is high and well respected by our clients.You will be required to have :",Swimming,False,2024-01-25
79777,https://www.sportspeople.com.au//jobs/79777-multi-sport-coaches-south-australia-2024-special-olympics-australia,Multi-sport Coaches - South Australia - 2024,Special Olympics Australia,Casual,Various opportunities within SA,South Australia,Australia,23 Feb 2024,,,,Working with Children / Working with Vulnerable People Check,"Relevant Coaching Accreditation, First Aid Certificate, Current Provide/Perform CPR",Matthew Pearson,,0401 418 773,matthewp@specialolympics.com.au,,Successful coaching applicants will be required to deliver 1-2 training sessions per week (this may include a weekend fixture at times). Training sessions are held at various locations throughout SA and we can create further to best suit your location or skillset. Weekday sessions will occur anytime between 4pm and 8pm and on Saturdays between 9am and 12pm.Successful applicants will work in conjunction with the State Manager and Participation Coordinator to develop and deliver a quality and enjoyable sporting program for people with intellectual disability.All applicants must possess a current Working With Children Check (WWCC). Coaching/officiating qualifications/experience are highly desirable.Relevant online training will be provided and must be completed prior to commencing the role.Salary will be discussed based on experience.,"Athletics,Basketball,Bowling,Dance,Football,Netball,Soccer,Swimming,Tennis,Weightlifting,Wheelchair and Disabled",False,2024-01-25
